entrez_gene_id	symbol	in_space_i	in_space_ii	in_space_iii	in_space_delta
1	A1BG	0	1	1	0
2	A2M	0	0	1	0
9	NAT1	0	1	1	0
10	NAT2	1	1	1	0
12	SERPINA3	1	1	1	0
13	AADAC	1	1	1	0
14	AAMP	0	1	1	0
15	AANAT	0	1	1	0
16	AARS	0	0	1	0
18	ABAT	1	1	1	0
19	ABCA1	0	0	1	0
21	ABCA3	0	1	1	0
22	ABCB7	1	1	1	0
23	ABCF1	1	1	1	0
25	ABL1	0	1	1	0
26	ABP1	1	1	1	0
27	ABL2	0	0	1	0
28	ABO	0	1	1	0
30	ACAA1	1	1	1	0
31	ACACA	0	0	1	0
33	ACADL	1	1	1	0
34	ACADM	1	1	1	0
35	ACADS	0	1	1	0
36	ACADSB	1	1	1	0
37	ACADVL	0	0	1	0
38	ACAT1	1	1	1	0
39	ACAT2	0	1	1	0
40	ASIC2	0	0	1	0
41	ASIC1	0	1	1	0
47	ACLY	1	1	1	0
48	ACO1	0	0	1	0
49	ACR	0	0	1	0
50	ACO2	0	0	1	0
51	ACOX1	1	1	1	0
52	ACP1	1	1	1	0
53	ACP2	0	0	1	0
54	ACP5	0	1	1	0
55	ACPP	1	1	1	0
56	ACRV1	1	1	1	0
58	ACTA1	1	1	1	0
59	ACTA2	1	1	1	0
60	ACTB	1	1	1	0
70	ACTC1	1	1	1	0
71	ACTG1	1	1	1	0
72	ACTG2	1	1	1	0
81	ACTN4	1	1	1	0
86	ACTL6A	1	1	1	0
87	ACTN1	1	1	1	0
88	ACTN2	0	1	1	0
89	ACTN3	0	1	1	0
90	ACVR1	1	1	1	0
91	ACVR1B	1	1	1	0
92	ACVR2A	0	1	1	0
93	ACVR2B	0	1	1	0
94	ACVRL1	0	1	1	0
95	ACY1	1	1	1	0
97	ACYP1	1	1	1	0
98	ACYP2	1	1	1	0
100	ADA	1	1	1	0
101	ADAM8	0	1	1	0
102	ADAM10	0	1	1	0
103	ADAR	0	0	1	0
104	ADARB1	0	0	1	0
105	ADARB2	0	0	1	0
108	ADCY2	0	0	1	0
109	ADCY3	0	1	1	0
111	ADCY5	0	0	1	0
114	ADCY8	0	0	1	0
115	ADCY9	0	0	1	0
116	ADCYAP1	0	0	1	0
117	ADCYAP1R1	0	1	1	0
118	ADD1	1	1	1	0
119	ADD2	0	1	1	0
120	ADD3	0	1	1	0
123	PLIN2	1	1	1	0
124	ADH1A	0	1	1	0
125	ADH1B	0	0	1	0
126	ADH1C	0	1	1	0
127	ADH4	0	1	1	0
128	ADH5	1	1	1	0
130	ADH6	0	0	1	0
131	ADH7	0	1	1	0
132	ADK	0	1	1	0
133	ADM	0	0	1	0
134	ADORA1	1	1	1	0
135	ADORA2A	1	1	1	0
136	ADORA2B	1	1	1	0
140	ADORA3	1	1	1	0
141	ADPRH	0	1	1	0
142	PARP1	0	0	1	0
143	PARP4	0	0	1	0
146	ADRA1D	0	0	1	0
150	ADRA2A	0	0	1	0
151	ADRA2B	0	0	1	0
152	ADRA2C	0	0	1	0
154	ADRB2	0	1	1	0
155	ADRB3	0	0	1	0
156	ADRBK1	1	1	1	0
157	ADRBK2	1	1	1	0
158	ADSL	1	1	1	0
159	ADSS	1	1	1	0
160	AP2A1	1	1	1	0
161	AP2A2	1	1	1	0
162	AP1B1	0	0	1	0
163	AP2B1	1	1	1	0
164	AP1G1	1	1	1	0
166	AES	0	1	1	0
167	CRISP1	0	0	1	0
172	AFG3L1P	1	1	1	0
173	AFM	0	1	1	0
174	AFP	1	1	1	0
175	AGA	1	1	1	0
177	AGER	0	1	1	0
178	AGL	0	0	1	0
181	AGRP	0	0	1	0
182	JAG1	0	1	1	0
183	AGT	1	1	1	0
185	AGTR1	1	1	1	0
187	APLNR	1	1	1	0
189	AGXT	0	0	1	0
190	NR0B1	1	1	1	0
191	AHCY	1	1	1	0
196	AHR	0	1	1	0
197	AHSG	0	1	1	0
199	AIF1	1	1	1	0
202	AIM1	0	0	1	0
203	AK1	1	1	1	0
204	AK2	0	1	1	0
205	AK4	1	1	1	0
207	AKT1	1	1	1	0
208	AKT2	0	1	1	0
211	ALAS1	1	1	1	0
212	ALAS2	1	1	1	0
213	ALB	0	1	1	0
214	ALCAM	0	0	1	0
215	ABCD1	0	0	1	0
216	ALDH1A1	1	1	1	0
217	ALDH2	1	1	1	0
218	ALDH3A1	1	1	1	0
219	ALDH1B1	1	1	1	0
220	ALDH1A3	1	1	1	0
221	ALDH3B1	1	1	1	0
222	ALDH3B2	1	1	1	0
224	ALDH3A2	1	1	1	0
226	ALDOA	0	1	1	0
229	ALDOB	0	0	1	0
230	ALDOC	0	1	1	0
231	AKR1B1	1	1	1	0
238	ALK	0	0	1	0
240	ALOX5	0	1	1	0
241	ALOX5AP	1	1	1	0
242	ALOX12B	0	1	1	0
244	ANXA8L2	1	1	1	0
246	ALOX15	0	0	1	0
247	ALOX15B	1	1	1	0
248	ALPI	0	1	1	0
249	ALPL	0	1	1	0
250	ALPP	1	1	1	0
251	ALPPL2	0	0	1	0
257	ALX3	0	0	1	0
258	AMBN	0	1	1	0
259	AMBP	0	1	1	0
262	AMD1	0	0	1	0
266	AMELY	0	0	1	0
267	AMFR	0	1	1	0
268	AMH	0	0	1	0
269	AMHR2	0	1	1	0
270	AMPD1	0	0	1	0
271	AMPD2	1	1	1	0
272	AMPD3	0	1	1	0
273	AMPH	1	1	1	0
274	BIN1	0	1	1	0
275	AMT	0	1	1	0
276	AMY1A	0	1	1	0
278	AMY1C	0	0	1	0
279	AMY2A	1	1	1	0
280	AMY2B	1	1	1	0
283	ANG	0	1	1	0
